source_city,destination_city,distance,travel_mode,season,num_days,hotel_type,activity_level,food_preference,group_size,travel_cost,stay_cost,food_cost,activity_cost,total_cost,per_person_cost
Pune,Kerala,1474,bus,autumn,12,5-star,low,luxury,2,1529,131686,23572,3010,159796,79898
Kolkata,Goa,1857,car,winter,7,budget,low,budget,4,18334,11520,3281,1736,31384,7846
Chandigarh,Ooty,1250,car,winter,4,4-star,high,budget,3,12913,30343,1708,9514,54478,18159
Mumbai,Andaman,2407,bus,monsoon,6,budget,high,luxury,4,1657,6467,12245,13214,30225,7556
Mumbai,Munnar,1545,train,monsoon,11,4-star,moderate,budget,7,1739,54782,6151,10191,65577,9368
Ahmedabad,Munnar,1452,flight,winter,10,5-star,low,mixed,7,7516,143879,10128,2141,147298,21043
Delhi,Rishikesh,220,flight,summer,9,hostel,high,luxury,3,2918,7299,17270,18098,45585,15195
Lucknow,Ooty,1350,flight,summer,9,4-star,moderate,budget,7,7009,66137,4686,9041,78186,11169
Delhi,Jaipur,321,bus,autumn,4,hostel,low,mixed,7,336,2537,3913,823,6849,978
Bangalore,Jaisalmer,2050,car,autumn,2,4-star,low,mixed,5,15539,11688,1822,544,26634,5327
Pune,Varanasi,1184,flight,monsoon,13,budget,moderate,budget,6,3718,13617,5889,13078,32671,5445
Chandigarh,Udaipur,1189,car,summer,8,hostel,low,budget,3,8845,5735,3766,1727,20072,6691
Lucknow,Munnar,1559,bus,summer,4,budget,high,luxury,6,1960,6365,8440,9589,23719,3953
Chennai,Ooty,643,train,autumn,3,3-star,low,budget,1,756,9110,1501,623,11990,11990
Kolkata,Manali,1867,bus,autumn,3,5-star,moderate,mixed,7,1714,33295,2768,2946,36650,5236
Kolkata,Kerala,2523,train,monsoon,7,3-star,high,budget,1,2630,16601,3876,13932,37040,37040
Chennai,Jaipur,1867,train,autumn,4,4-star,high,budget,1,2462,26127,1783,7999,38370,38370
Lucknow,Goa,959,flight,autumn,11,3-star,high,mixed,1,4167,28392,12311,25875,70745,70745
Pune,Rishikesh,1274,bus,autumn,4,3-star,moderate,budget,4,1513,12767,2101,3687,18061,4515
Lucknow,Jaipur,1088,bus,summer,3,budget,moderate,mixed,3,1248,4786,2764,2559,11356,3785
Chennai,Darjeeling,2186,car,winter,8,3-star,low,budget,4,20573,29151,3693,2192,50048,12512
